"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.335515542E0,-8.656940914E-1,-4.032842177E-1,6.648202336E-1,1.163636697E0
2.345496542E0,-8.902337591E-1,-3.583132821E-1,6.981470239E-1,1.186723987E0
2.355477542E0,-8.713379701E-1,-3.231235689E-1,6.410460395E-1,1.128972419E0
2.365457542E0,-8.404179668E-1,-3.071454674E-1,5.262961864E-1,1.038088808E0
2.375438542E0,-7.646402447E-1,-3.000995725E-1,3.802760088E-1,9.051763917E-1
2.385419542E0,-6.597017272E-1,-3.294140035E-1,2.511355734E-1,7.789666429E-1
2.395400542E0,-5.924609399E-1,-3.916658002E-1,1.624988008E-1,7.285725253E-1
2.405381542E0,-5.209287348E-1,-4.821000069E-1,3.288357139E-2,7.105409860E-1
2.415362542E0,-4.336839650E-1,-5.772839069E-1,2.507286072E-2,7.224729331E-1
2.425342542E0,-4.151141582E-1,-6.666545051E-1,1.107883644E-1,7.931091068E-1
2.435323542E0,-4.257873733E-1,-7.362568367E-1,1.674560702E-1,8.668394040E-1
2.445304542E0,-4.302976962E-1,-7.281812471E-1,1.151386929E-1,8.536163978E-1
2.455285542E0,-5.822695354E-1,-7.392821860E-1,-1.052164941E0,1.411604416E0
2.465266542E0,-1.382435123E0,-9.716844499E-2,-2.332467772E0,2.713111588E0
2.475247542E0,-1.371605495E0,2.091204053E-1,3.582331753E-1,1.432956380E0
2.485228542E0,-1.149818267E0,7.892103910E-2,9.352861172E-1,1.484274469E0
2.495208542E0,-6.326780161E-1,-7.976596177E-2,1.195984812E0,1.355368493E0
2.505189542E0,-2.697120313E-1,-4.882927930E-1,1.619677566E0,1.713046949E0
2.515170542E0,-8.827300273E-2,-7.511999810E-1,1.333558102E0,1.533124504E0
2.525151542E0,5.471665071E-1,-1.039101677E0,4.481510729E-1,1.256965738E0
2.535132542E0,5.022131132E-1,-1.074884883E0,-4.706879961E-1,1.276378749E0
2.545113542E0,-4.503534997E-1,-7.711822557E-1,-3.996642065E-1,9.784026902E-1
2.555094542E0,-1.022361903E0,-3.419364005E-1,2.996569383E-1,1.118900640E0
2.565074542E0,-1.138720544E0,-2.226561248E-2,5.677810121E-1,1.272617583E0
2.575055542E0,-1.029641905E0,-7.972093821E-3,4.527177483E-1,1.124801923E0
2.585036542E0,-9.414928635E-1,-1.358787668E-1,3.106976509E-1,1.000702194E0
2.595017542E0,-8.058722513E-1,-2.074902016E-1,2.999376047E-1,8.845591195E-1
